headline_text,category
BRIEF-Hainan Haiyao to sell 30 pct stake in petty loan firm,3
S.Korea bans sales of some Nissan,4
Trump leaning toward Georgia ex-gov for agriculture head - official,0
BRIEF-Steyr Motors unit to get 200 mln yuan via authorizing technology,3
BRIEF-ICICI Bank announces 0.70 pct cut in I-MCLR benchmarks across tenures,3
Italy's 5-Star Movement unveils ethics code,4
MEDIA-India's GTPL Hathway files papers for 3 bln rupees IPO - Mint,3
BRIEF-Sichuan Datong Gas Development plans overseas LNG and gas trade unit worth 30 mln yuan,3
Suicide bombers attack 2 police stations in Iraq's Samarra - sources,4
BRIEF-RCL Retail gets members' nod for reappointment of Nitesh Lodha as MD,4
Man City make light of Fernandinho red card to beat Burnley,1
South Korea bans sales of some Nissan,4
Djokovic recovers from slow start to begin year with win in Doha,1
MEDIA-Hindustan Petroleum Corp to invest 12 bln rupees in city gas distribution business - Mint,3
No proof Russian hacking influenced U.S. election - Trump spokesman,5
Obama leaves Hawaii for Washington,0
Bank of Israel says preparing for 'renormalisation' of interest rates,3
BRIEF-Jiangsu Youli Investment Holding announces shareholding structure changes,3
Defoe frustrates Liverpool,1
Taiwan stocks edge up Innolux AU Optronics rise,6
MEDIA-India's Exide Industries to invest 3 bln rupees to expand capacity in West Bengal - Mint,3
Serena shakes out rust to advance in Auckland,1
ANALYSIS - Migrants in U.S.,0
Evacuations as forest fire rips through Valparaiso,4
MEDIA-India's ONGC plans separate division for difficult fields - Business Standard,3
BRIEF-Zhejiang Qianjiqng Motorycle sells 18.9 pct stake in Global Intelligent Power Technologies,3
MEDIA-India's Aavishkaar to raise $150 mln fund for Africa investments - Mint,3
North Korea's claim on ICBM test plausible - experts,4
BRIEF-Lijiang Yulong Tourism buys 25 pct stake in Lijiang ropeway firm,3
FACTBOX - Centuries before lunch on opening day of a test match,1
Besiktas complete Babel signing,1
MEDIA-Blackstone Group in race for $250 mln stake in India's K Raheja - Times of India,3
Morning News Call - India,4
Trump says Chicago must seek U.S. help if no progress cutting murders,0
Manchester United's Mata and Ibrahimovic sink 10-man West Ham,1
Christmas fixtures great for fans,1
Murders in notoriously violent El Salvador drop 20 percent in 2016 - police,4
BRIEF-Shinsegae buys 100 pct stake in Jeju Soju,3
Chelsea's Musonda returns from Betis loan spell,1
Man survives Turkey nightclub attack by pretending to be dead,4
China should set more flexible GDP growth target in 2017 - central bank adviser,3
Islamic State claims blast in Baghdad's Sadr City,4
Islamic State kills 24 with Baghdad car bomb,4
BRIEF-PCTEL Inc appoints David Neumann as CEO,3
Germany's Merkel to skip Davos on eve of Trump presidency,0
MIDEAST STOCKS-Gulf mixed Egypt edges down,3
RPT-India fwd/annualised dlr premia-(close)-Jan 2,3
BRIEF-Yunnan Tourism to set up fund management unit,4
Saudi's Yamama Cement secures 1 bln riyals in funds for new plant,3
TABLE-India cenbank says reverse repo bids fall to 584.10 bln rupees,3
FACTBOX - Brazil's history of violent prison uprisings,4
Iraqi forces say drones are key in battle against Islamic State,4
China confirms human bird flu case in Guizhou province,5
New Indian land laws to expedite projects hurt farmers,4
Investigators question Israel's Netanyahu over alleged receipt of gifts,4
BRIEF-Shinsegae unit Shinsegae Property sets up new subsidiary named Stfield Goyang,4
UPDATE 2-U.S. Customs computer outage causes delays at some airports,6
BRIEF-Wellard Ltd updates on banking covenant breaches,3
U.S. judge rules South Carolina church gunman can act as own lawyer,0
BRIEF-Shanghai Shimao completes stake acquisition,3
Gambian authorities shut two radio stations amid post-election crisis,4
UPDATE 2-China's capital enjoys brief respite,3
TABLE-Qatar's November bank loan growth slows slightly,3
U.S. House Republicans weaken ethics body as they return to Congress,0
EXCLUSIVE - Brazil's Renova to sell wind farm for up to 700 million reais - source,3
BRIEF-Goertek to set up robot unit in Shanghai,6
GRAINS-Soybeans start New Year on positive note,4
BRIEF-Shanghai DZH appoints Zhang Zhihong as chairman,3
S.Korea lifts import tariffs for eggs to ease egg shortage,4
BRIEF-Ferroglobe Plc Executive Chairman Alan Kestenbaum resigns,4
BRIEF-MEP Infrastructure Development gets LOA from NHAI,3
BRIEF-Appro Photoelectron updates 2 mln new shares issuance,6
China steel rebar starts 2017 on upbeat note as smog descends,4
India FIMMDA-Thomson Reuters-MITOR based on dlr/rupee swap,3
BRIEF-North China Pharmaceutical says controlling shareholder sells 250 mln shares of the co,5
Destructive fire rips through popular Chilean port,4
BRIEF-Alibaba Health Information Technology says entered into services framework agreement with AGH Group,5
BRIEF-Sejal Glass says co paid total debt of 6.50 bln rupees,3
BRIEF-Xiwang Foodstuffs to set up unit in Hong Kong,4
BRIEF-Andon Health's unit completes sale of stake in Bloomsky Technology,5
BRIEF-MRC Allied appoints Gladys Nalda as President,4
BRIEF-Thaihot's unit wins land auction worth 351.8 mln yuan,3
BRIEF-Shandong New Beiyang Information Technology to set up 200 mln yuan buyout fund with partners,3
BRIEF-CSG Ltd appoints Gary Brown as chief financial officer,3
BRIEF-Landsea Green Properties says unit to buy Ningbo Jinwo Commercial Investment,3
In Istanbul nightclub,4
Brazil drug gangs spark prison riot,4
As smog returns,5
Search for Lake Erie plane crash enters fourth day,4
BRIEF-Masimo reaffirms commitment to India with launch of advanced monitoring technologies made for India,6
BRIEF-Shanghai environmental protection firm raises 14.2 pct stake in Zhejiang Unifull Industrial Fiber,3
BRIEF-China's Goertek to acquire stake in U.S. tech firm Kopin,3
BRIEF-India's Hero Motocorp December two-wheeler sales fall,3
BRIEF-LPP December 2016 revenue up about 13 pct yoy,3
BRIEF-Clavister's PhenixID signs contracts at SEK 10 million in December,3
Indonesia Nov foreign tourist arrivals up 18 pct y/y,3
BRIEF-Hong Leong Bank says Domenico Fuda resigns as board member,4
Pakistani city launches new polio campaign after rare strain found,5
BRIEF-Shenzhen Jinxinnong Technology raises stake in Wuhan hog breeding firm to 80 pct,3
China stocks start 2017 firmer HK up,3
MIDEAST STOCKS - Factors to watch - Jan 3,3
BRIEF-Suven Life Sciences gets 2 product patents in Eurasia and Norway,6
China's yuan may see more volatility vs dollar after basket change,3
Four dead in Alabama building hit by severe storm - governor,4
China briefly halts trade in a goverment bond due to 'abnormal volatility',3
Islamic State claims reponsibility for Turkey attack as mourners bury the dead,4
North Korea's claim on ICBM test plausible say experts,4
BRIEF-Court proclaims Kopex's unit WAMAG insolvent,5
Norway's c.bank warns of housing boom risks,4
BRIEF-YD Online says involvement in lawsuit for adjusted amount claim,3
CORRECTED--Hong Kong's 'bow tie Tsang' denies graft related to China penthouse,4
UPDATE 2-Iran certifies 29 international companies to bid for oil,3
Christmas message leads to death threats,4
Iran certifies 29 international companies to bid for oil,3
BRIEF-Beijing WKW Automotive Parts names Bao Li'na as finance director,3
BRIEF-DI signs 3.05 bln won contract with Samsung Electronics,6
BRIEF-Son Myeong Wan sells 3.3 pct stake in Lumimicro,3
ETFs globally gather record cash in 2016 -BlackRock,3
RPT-New York still the apple of foreign property investors' eyes -survey,3
BRIEF-Lightron Fiber-Optic Devices says change of shareholding structure,6
BRIEF-Nibec receives patent,6
Turkish military says 18 Islamic State militants killed in clashes in Syria,4
South Korea central bank chief - low growth may continue,3
PRESS DIGEST- New York Times business news - Jan 3,3
PRESS DIGEST - Wall Street Journal - Jan 3,3
BRIEF-Home Meal signs two new master franchise agreements in France,4
Singapore's Q4 GDP growth surprises as manufacturing rebounds,3
BRIEF-Sunbird Yacht unit to buy marine engineering firm for 29.6 mln yuan,3
BRIEF-Erbud signs 33.8 mln zloty construction deal with unit of Vantage Development,4
BRIEF-FIT Biotech updates on issue of convertible notes and warrants,6
FOREX-Dollar holds ground,3
BRIEF-Brother Enterprises says lawsuit,4
India,4
BRIEF-APR Energy,6
BRIEF-Panacea Biotec announces increased availability of Cilamin 250 in India,5
Syrian rebels say they froze talks on Russian-backed peace conference due to ceasefire violations,4
U.S.-led strikes in Iraq,4
China launches rural assets reforms to boost farmers' incomes,3
BRIEF-Shanghai Xujiahui Commercial gets rights to use TONY WEAR trademark,6
Kubiak steps down as Broncos coach due to health concerns,5
BRIEF-Fast Finance has not redeemed its 6,3
Hong Kong's 'bow tie Tsang' denies graft related to China penthouse,3
EMERGING MARKETS-Brazil real,3
Turkey close to identifying Istanbul attacker - deputy prime minister,4
BRIEF-Oh Joong Gun buys 7.6 pct stake in Lightron Fiber-Optic Devices,6
BRIEF-Venture Inc submits motion for shares listing on WSE's regulated market,4
Israel's Netanyahu dismisses media reports of gifts investigation,4
BRIEF-Union Bank of India CFO Vivekanand H. Kamath retires,3
BRIEF-Aditya Birla Nuvo says IGH Holdings raises stake in co to 15.7798 pct,3
Evergrande raises $4.3 billion new capital for its China backdoor listing,3
Turkish PM to visit Iraq this week to discuss fight against terror,4
BRIEF-Hanmi Science unit Hanmi Pharm says issuance of 728,5
BRIEF-Aditya Birla Nuvo says Turquoise Investments and Finance acquires 1.1517 pct stake in co,3
BRIEF-Hanmi Science says issuance of 4 mln bonus shares,3
BRIEF-Shijiazhuang Changshan Textile unit receives verdict,3
BRIEF-India to sell 110 bln rupees of bonds on Jan 6 - RBI,3
SpaceX aims for Jan. 8 return to flight with Falcon rocket,6
BRIEF-Shandong Tyan Home's stake in Shenzhen investment unit to be lowered to 38.9 pct from 51 pct,3
MIDEAST STOCKS-Gulf may gain as oil,3
Soccer-Wenger criticises Premier League festive fixture schedule,1
BRIEF-Shenzhen Sunway Communication raises stake in Shenzhen-based tech firm to 59.15 pct,3
Man injured as leopard escapes netting in India,4
Wenger criticises Premier League festive fixture schedule,1
GRAPHIC-One in five euro bonds yields less than ECB's deposit rate,4
BRIEF-Guangdong Anjubao Digital Technology sees 2016 net profit to down by 23.21 pct to 40.28 pct,3
BRIEF-Changjiang Publishing & Media sees 2016 net profit up 65 pct to 85 pct,3
BRIEF-Xinjiang Youhao Group appoints BDO Da Hua Certified Public Accountants as auditor,3
Oklahoma police officer shot at traffic stop,4
UPDATE 2-Southern Europe's bond yields start 2017 at multi-week lows,3
BRIEF-Huayu Automotive Systems unit to invest 120 mln yuan in airbag co,3
BRIEF-Housing and Urban Development Corporation Limited files for IPO,3
In Iraq,4
Islamic State strikes Baghdad,4
BRIEF-Shanghai Tianchen to set up healthcare management consulting unit in Shanghai,5
BRIEF-Oceanwide Holdings to invest 2.04 bln yuan in fund,3
BRIEF-Shandong Meichen Science and Technology's unit terminates agreement in tourism project,6
Slovak PM Fico urges end to referendum 'adventures' in EU,4
BRIEF-Partners Group provides debt financing to support take-private of SAI Global,3
BRIEF-Fish farmer Bakkafrost harvested 12,4
BRIEF-Guangxi Future Technology appoints ZHONGXI CPAS as auditor,6
BRIEF-Oceanwide Holdings unit ups 20 pct stake in Qingdao construction unit,3
BRIEF-Gemalto supplies AT&T with remote subscription management solution,6
BRIEF-Olympic Entertainment Polish unit files bankruptcy petition,1
Teen drug use may not be tied to sports participation,1
BRIEF-Remsons Industries says damage in factories amounted to 129 mln rupees,3
BRIEF-Shares in newly merged Banco BPM close up 9 pct on first day of trading,3
BRIEF- Chengdu B-ray Media wins billboard management right for 81.4 mln yuan/year,3
BRIEF-Heren Health names Yang Yibing as chairman and general manager,5
UPDATE 1-Cricket-Hurry-up Warner delivers in record fashion,1
BRIEF-Jafron Biomedical's CFO Luo Yahong resigns,5
BRIEF-ACT to invest 8.6 bln won to build new factory,3
BRIEF-Hengtong Optic Electric unit wins 96.6 mln yuan bid,3
RPT-ICRA ratings for Indian debt instruments-Jan 2,3
Fitch Rates Logan's USD Senior Notes Final 'BB-',3
BRIEF-Greenland Holdings unit to buy 4.9 pct stake in China Greenland Broad Greenstate Group Co.,3
BRIEF-India cenbank sets 6.24 pct cut-off rate at 6-day variable rate reverse repo auction,3
BRIEF-India cenbank sets cut-off rate of 6.24 pct at 10-day variable rate reverse repo auction,3
BRIEF-India cenbank sets cut-off rate of 6.24 pct at overnight variable rate reverse repo auction,3
BRIEF-Former Deutsche Bank co-CEO joining Cantor Fitzgerald as President,3
France tries Equatorial Guinea leader's son in absentia in corruption case,3
BRIEF-Argan Q4 rental revenue up to 17.6 million euros,3
BRIEF-Grenke FY 2016 new business volume up 15.8 pct at 1.97 billion euros,3
Sri Lankan rupee edges down ahead of cenbank policy statement,3
China's Sinosoft again rejects shortseller report,6
Correction - Fitch Publishes KWG's 'BB-' Rating,3
Obama returns to Washington after vacation,1
BRIEF-Beijing Hualian Department Store revises stake acquisition and fund raising plan,3
Moscow seeks naval drills as Russian warships visit Manila,4
BRIEF-Wawel warns that sales in subsequent quarters of 2017 might be lower YoY,3
UPDATE 1-Gambian authorities shut three radio stations amid post-election crisis,4
Gambian authorities shut three radio stations amid post-election crisis,4
BRIEF-Tyros increases capital to 665,3
Islamic State launches attack away from Mosul fight - Amaq,4
UK Stocks-Factors to watch on Jan 3,3
Australia shares hit 19-month high led by miners,3
Brazil posts record trade surplus in 2016 on recession,3
BRIEF-Italy car sales rise 13 pct in December - ministry,3
BRIEF-Mahamaya Steel Industries appoints Sanjay Kumar Lilha as CEO,3
UPDATE 4-Daughter of S.Korean leader's friend arrested in Denmark amid graft probe,4
BRIEF-Huafon Microfibre announces shareholding structure changes,6
Daughter of South Korean leader's friend arrested in Denmark amid graft probe,4
Indian shares rise slightly as banks recover,3
Trump aware of 'urgency' of North Korea nuclear threat - South Korea,1
BRIEF-Icade announces acquisitions and disposals,4
CORRECTED-SE Asia Stocks-Most markets start new year on weak note,3
BRIEF-Beijing Bohui Innovation Technology raises stake in Guangdong biopharma firm to 51 pct,5
GLOBAL MARKETS-Stocks gold start 2017 on firm footing dollar resumes climb,3
PRECIOUS-Gold starts 2017 on positive note,3
BRIEF-Atos acquires Engage ESM,3
TABLE-Thomson Reuters reference rates for India gilts,4
Georgia ex-gov is top choice for agriculture head -Trump transition official,4
MOVES-Cantor Fitzgerald appoints Anshu Jain as president,4
Syrian suspected of planning truck attack in Germany arrested-prosecutors,4
BRIEF-Sasini Ltd appoints Stephen Maina Githiga as group managing director,3
French baby dies after taking product to treat Vitamin D deficiency,4
BRIEF-Britam says International Finance Corp to subscribe for minority stake in Britam Holdings,3
Soccer-Costa praises manager Conte for Chelsea turnaround,1
China's economy could grow 6.5 percent in 2017,3
Swiss stocks - Factors to watch on Jan 3,3
European stocks set to climb for second straight session. For more see the European equities LiveMarkets blog,3
Syrian suspected of planning truck attack in Germany arrested - prosecutors,4
BRIEF-Capio to acquire Swedish healthcare group Backa Lakarhus,3
BRIEF-Juventus FC finalizes acquisition of Tomas Rincon from Genoa Cricket & Football Club,1
BRIEF-Proact says acquires Teamix in Germany,4
Costa praises manager Conte for Chelsea turnaround,1
Two sets of twins born in different years in U.S.,0
BRIEF-Guangdong Zhengye Technology appoints Grant Thornton as corporate auditor for FY 2016,6
UPDATE 3-Four killed in possible tornado as storms lash U.S. South,0
BRIEF-Golden Pyramids posts nine-month standalone loss,4
BRIEF-SM Investments clarifies article 'smic tapped by chinese,3
BRIEF-Speedy Global Holdings updates on trading halt request,3
Hong Kong kept its post as top IPO capital in 2016,3
UPDATE 2-Cricket-Test Series Australia v Pakistan scoreboard,1
BRIEF-Hamborner Reit AG says starts new year with portfolio growth,3
France's Hollande visits Iraq,4
French and Benelux stocks-Factors to watch on Jan 3,3
BRIEF-Man Goup completes acquisition of Aalto Invest Holding,3
BRIEF-Britvic nears agreement on new 55 mln stg Brazilian deal,3
China stocks start 2017 firmer,3
Four killed in possible tornado as storms lash U.S. South,4
BRIEF-Alimtiaz Investment unit secures 13.3 mln dinars contract,3
India bonds yields fall to near one-month low as gov't cuts borrowing,3
BRIEF-Beijing Tensyn Digital Marketing Technology Joint Stock to sell partial account receivable for 176 mln yuan,6
India to present 2017/18 federal budget on Feb 1 - govt official,3
BRIEF-Euronext offers 510 mln euro for LSEG's French clearing unit,3
India bonds yields fall to near one-month low as government cuts borrowing,3
Stocks gold start 2017 on firm footing dollar resumes climb,3
BRIEF-Aucma raises 746 mln yuan via private placement,3
India to present 2017/18 budget on February 1 - government official,4
BRIEF-Vindhya Telelinks approves issue of securities worth up to 1.50 bln rupees,3
German stocks - Factors to watch on January 3,3
BRIEF-India cenbank sets 6.26 pct cut-off rate at 14-day variable rate repo auction,3
EM ASIA FX-Asia FX rise as upbeat China factory survey spurs short covering,3
Preview - Saudi Arabia to raise Feb term crude prices to Asia,4
BRIEF-Deacons (East Africa) Plc sees lower earnings for FY 2016,3
TABLE-Foreign trading in South Korean stocks,3
SGS says completes 458.3 million Sfr share buyback programme,3
BRIEF-Plantynet to pay annual cash dividend as 150 won per share for FY 2016,3
Euronext offers 510 mln euros for LSE's French clearing business,3
Sensex,4
BRIEF-Sintesi to subscribe to Gequity's unopted capital increase for up to 42 mln shares,3
BRIEF-UK's CMA to consider undertaking in John Menzies ASIG deal,3
Wall St Week Ahead-Investors brace for 2017 shocks after surprise 2016 run,3
BRIEF-Cxense signs an agreement with an Argentinian multimedia company,3
BRIEF-Legal & General group completes sale of Cofunds to Aegon,3
Member of anti-IS coalition killed in Iraq in non-combat incident,4
BRIEF- Black River buys 13 pct stake in Prime Minerals,3
BRIEF-G5 Entertainment sees Q4 revenue to grow 82 pct yoy,3
BRIEF-Autoliv and Volvo Cars sign final agreement to form joint venture,3
Pope tells bishops to have zero tolerance for sexual abuse,4
Surgical forceps removed from Vietnamese man after 18 years,5
UPDATE 2-Twitter's China boss Kathy Chen quits after 8 months,3
BRIEF-Pincon Spirit to consider resignation of CEO,3
BRIEF-Henry Group seeks trading halt,3
France finds bird flu in new part of country,4
Bangladesh forex reserves hit record,3
BRIEF-RBI says banks should advise currency chests to step up issue of new notes to rural branches,3
UK's BBA Aviation to merge aircraft management business with Gama Aviation's US unit,3
BRIEF-Zamzaw lowers stake in Platynowe Inwestycje to 35.9 pct,3
Bangladesh forex reserves hit record,3
BRIEF-San Miguel Corp confirms expansion plans for manufacturing units,3
China says its hard work on denuclearisation of Korean peninsula is obvious,4
UPDATE 1-UK Stocks-Factors to watch on Jan 3,3
CORRECTED-BRIEF-Crossject receives 567,3
BRIEF-Dhanuka Agritech says final amount for buyback set at 800 mln rupees,3
Italy - Factors to watch on Jan. 3,3
Man dies in police shooting incident in northern England,4
Spanish stocks - Factors to watch on Tuesday,3
BRIEF-Aurionpro Solutions MD Amit Sheth steps down,3
BRIEF-Vita Life Sciences reaches agreement with Jointown Pharmaceuticals,5
BRIEF-VHQ Media Holdings unit to buy 32 pct stake in Beijing digital tech firm for 135 mln yuan,3
UPDATE 2-Bakkafrost Q4 fish harvest as forecast,3
BRIEF-Jiangling Motors' vehicle sales up 6.9 pct in 2016,3
Baggage handler found locked in hold of Charlotte-Washington flight,4
BRIEF-Allstate seeking 1,3
Remittances to Mexico jump by most in 10 years after Trump win,3
BRIEF-Advantech to buy 60 pct stake in S.Korea medical display maker Kostec,6
Soccer-Arriving at end of my coaching career,1
BRIEF-Hangzhou Binjiang Real Estate to buy stake in property firm for 798 mln yuan,3
BRIEF-Renewal and expansion of Telia's cooperation with NextGenTel,6
Around 60 killed in Brazil prison riot - state official,4
BRIEF-Syndicate Bank writes off 8.83 bln rupees on account of fraud in Jaipur region,3
BRIEF-ZUK Elzab signs cooperation agreement with JNJ,3
UPDATE 1-Trump leaning toward Georgia ex-gov for agriculture head -official,0
BRIEF-Cellcom Israel announces network sharing and hosting agreement with Electra and mediation agreement with Golan Telecom,6
BRIEF-Zhuhai Hokai Medical Instruments sees 2016 net profit up 155.2 pct to 185.2 pct,5
Delays and disruptions from India's freezing fog,4
BRIEF-JMC ELECTRONICS prices private placement as T$26 per share,3
Trump leaning toward Georgia ex-governor for agriculture head - official,0
BRIEF-Tallink Grupp December number of passengers up 7.8 pct y/y,3
BRIEF-Publity - sale of building complex 'Am Boulevard',3
BRIEF-Aqeri receives SEK 4 million order,3
BRIEF-EFG Hermes appoints Ali Khalpey as CEO for frontier operations,3
Indonesian boat captain to be prosecuted for negligence after deadly fire,3
BRIEF-Adesso says Generali to use PSLife as inventory control system in life insurance sector,6
BRIEF-Sandnes Sparebank is contemplating buyback of T1 and T2 bonds,3
BRIEF-China Fortune Land expects 2016 net profit to rise 30-40 pct,3
BRIEF-Raisio CEO Matti Rihko resigns,3
MIDEAST STOCKS-Gulf markets exposed to foreign funds outperform in early trade,3
UPDATE 1-UK's BBA Aviation to merge aircraft management business with Gama Aviation's US unit,4
Sale of small Italian banks to UBI delayed at Commission's request - sources,3
BRIEF-Hainan HNA Infrastructure Investment Group says unit to set up property unit,3
China central bank injects $124.9 billion in Dec,3
